species,decimalLongitude,decimalLatitude,country
Psittacus erithacus,7.432731,1.643107,Sao Tome and Principe
Psittacus erithacus,7.381383,1.678606,Sao Tome and Principe
Psittacus erithacus,33.048008,0.413195,Uganda
Psittacus erithacus,7.412688,1.665128,Sao Tome and Principe
Psittacus erithacus,29.985405,-0.129996,Uganda
Psittacus erithacus,10.869784,1.597518,Equatorial Guinea
Psittacus erithacus,10.842527,1.617019,Equatorial Guinea
Psittacus erithacus,10.885851,1.597867,Equatorial Guinea
Psittacus erithacus,33.04677,0.413805,Uganda
Psittacus erithacus,7.378884,1.553059,Sao Tome and Principe
Psittacus erithacus,7.391088,1.675345,Sao Tome and Principe
Psittacus erithacus,3.535807,6.43979,Nigeria
Psittacus erithacus,8.635559,3.339467,Equatorial Guinea
Psittacus erithacus,31.875444,-0.348273,Uganda
Psittacus erithacus,8.563478,3.258435,Equatorial Guinea
Psittacus erithacus,8.798649,3.618274,Equatorial Guinea
Psittacus erithacus,-1.38387,5.3505,Ghana
Psittacus erithacus,10.1253,1.5365,Equatorial Guinea
Psittacus erithacus,-1.379074,6.67553,Ghana
Psittacus erithacus,29.614374,-0.991812,Uganda
Psittacus erithacus,14.753596,0.465604,Congo
Psittacus erithacus,15.8474,2.4061,Cameroon
Psittacus erithacus,15.7122,2.2952,Cameroon
Psittacus erithacus,15.8506,2.3965,Cameroon
Psittacus erithacus,15.4372,2.4413,Cameroon
Psittacus erithacus,32.569948,0.096562,Uganda
Psittacus erithacus,10.061388,3.777638,Cameroon
Psittacus erithacus,9.887988,2.377592,Cameroon
Psittacus erithacus,15.711534,2.301319,Cameroon
Psittacus erithacus,15.436955,2.441762,Cameroon
Psittacus erithacus,7.412725,1.569733,Sao Tome and Principe
Psittacus erithacus,9.844849,2.444997,Cameroon
Psittacus erithacus,27.528109,-1.276273,"Congo, Democratic Republic of the"
Psittacus erithacus,-2.641428,5.285919,Ghana
Psittacus erithacus,15.776415,2.316029,Cameroon
Psittacus erithacus,-1.347006,6.686215,Ghana
Psittacus erithacus,-1.383826,5.326936,Ghana
Psittacus erithacus,-1.416425,5.318909,Ghana
Psittacus erithacus,32.431277,0.18298,Uganda
Psittacus erithacus,32.549277,0.145016,Uganda
Psittacus erithacus,33.118927,0.52198,Uganda
Psittacus erithacus,-1.34083,6.688361,Ghana
Psittacus erithacus,33.01057,0.400189,Uganda
Psittacus erithacus,32.564316,0.168002,Uganda
Psittacus erithacus,30.414803,0.425298,Uganda
Psittacus erithacus,32.548214,0.224923,Uganda
Psittacus erithacus,32.561546,0.224238,Uganda
Psittacus erithacus,33.078403,0.578353,Uganda
Psittacus erithacus,32.990276,0.439676,Uganda
Psittacus erithacus,7.420849,1.640986,Sao Tome and Principe
Psittacus erithacus,32.55153,0.158777,Uganda
Psittacus erithacus,30.407019,0.406903,Uganda
Psittacus erithacus,30.334316,0.488442,Uganda
Psittacus erithacus,7.62455,5.458717,Nigeria
Psittacus erithacus,28.591619,1.439771,"Congo, Democratic Republic of the"
Psittacus erithacus,28.552618,1.42509,"Congo, Democratic Republic of the"
Psittacus erithacus,31.879,-2.4103,"Tanzania, United Republic of"
Psittacus erithacus,29.75428,-1.012734,Uganda
Psittacus erithacus,33.202187,0.446222,Uganda
Psittacus erithacus,33.200336,0.422305,Uganda
Psittacus erithacus,32.03129,1.550321,Uganda
Psittacus erithacus,29.771833,-1.069131,Uganda
Psittacus erithacus,32.636185,0.537688,Uganda
Psittacus erithacus,32.421043,0.260374,Uganda
Psittacus erithacus,29.775473,-1.04693,Uganda
Psittacus erithacus,32.484686,0.194771,Uganda
Psittacus erithacus,30.497181,0.490364,Uganda
Psittacus erithacus,16.25524,2.920132,Central African Republic
Psittacus erithacus,28.59162,1.439771,"Congo, Democratic Republic of the"
Psittacus erithacus,32.577587,0.166313,Uganda
Psittacus erithacus,31.542519,1.679546,Uganda
Psittacus erithacus,31.567705,1.646836,Uganda
Psittacus erithacus,31.381632,1.773182,Uganda
Psittacus erithacus,32.577606,0.166241,Uganda
Psittacus erithacus,12.734103,3.358144,Cameroon
Psittacus erithacus,16.364122,2.95431,Central African Republic
Psittacus erithacus,33.158333,0.474816,Uganda
Psittacus erithacus,-3.73734,5.199011,Côte d’Ivoire
Psittacus erithacus,33.208664,0.416661,Uganda
Psittacus erithacus,30.728956,0.764655,Uganda
Psittacus erithacus,14.63195,0.965886,Congo
Psittacus erithacus,32.254355,-0.371408,Uganda
Psittacus erithacus,32.548339,0.00218,Uganda
Psittacus erithacus,30.335414,0.461638,Uganda
Psittacus erithacus,32.22172,0.382013,Uganda
Psittacus erithacus,32.572675,0.196139,Uganda
Psittacus erithacus,14.879113,0.550301,Congo
Psittacus erithacus,9.3503,-0.0471,Gabon
Psittacus erithacus,11.467795,3.397675,Cameroon
Psittacus erithacus,32.319622,0.34855,Uganda
Psittacus erithacus,12.234917,-5.297831,Angola
Psittacus erithacus,9.325418,-1.909714,Gabon
Psittacus erithacus,11.525002,-0.441031,Gabon
Psittacus erithacus,33.089275,0.543338,Uganda
Psittacus erithacus,10.027197,-1.107394,Gabon
Psittacus erithacus,9.828399,-0.844355,Gabon
Psittacus erithacus,10.254722,-1.084722,Gabon
Psittacus erithacus,15.005815,2.466472,Cameroon
Psittacus erithacus,14.882402,0.589644,Congo
Psittacus erithacus,14.969021,0.570417,Congo
Psittacus erithacus,14.9368,0.6135,Congo
Psittacus erithacus,14.923933,0.657975,Congo
Psittacus erithacus,7.485774,1.733807,Sao Tome and Principe
Psittacus erithacus,30.35079,0.48516,Uganda
Psittacus erithacus,-4.128354,5.334241,Côte d’Ivoire
Psittacus erithacus,11.408848,3.970657,Cameroon
Psittacus erithacus,-4.135304,5.326304,Côte d’Ivoire
Psittacus erithacus,31.564747,2.283165,Uganda
Psittacus erithacus,33.19961,0.427965,Uganda
